index,gpsTimeValid,date,time,millis,lat,lng,speed_mph,gsr,scr,slope_cps,recovery_s,it_date,it_time,emo_level
265,1,0,0,98253,0,0,0,558,-14.97,0.39,50.03,0,1000000,0.740
266,1,0,0,98615,0,0,0,559,-13.83,3.15,50.40,0,1000000,0.779
267,1,0,0,98979,0,0,0,559,-13.69,0.38,50.76,0,1000000,0.794
268,1,0,0,99341,0,0,0,559,-13.55,0.38,51.12,0,1000000,0.791
269,1,0,0,99707,0,0,0,559,-13.42,0.37,51.49,0,1000000,0.775
270,1,0,0,100071,0,0,0,559,-13.28,0.37,51.85,0,1000000,0.756
271,1,0,0,100435,0,0,0,559,-13.15,0.36,52.22,0,1000000,0.740
272,1,0,22412605,100800,0,0,0,560,-12.03,3.07,52.58,0,23412605,0.779
273,1,0,22412605,101173,0,0,0,559,-12.90,-2.33,52.96,0,23412605,0.808
274,1,0,22412605,101546,0,0,0,559,-12.77,0.35,53.33,0,23412605,0.816
275,1,0,22412700,101920,0,0,0,560,-11.65,2.99,53.70,0,23412700,0.844
276,1,0,22412700,102296,0,0,0,560,-11.53,0.31,54.08,0,23412700,0.849
277,1,0,22412800,102671,0,0,0,560,-11.42,0.31,54.45,0,23412800,0.838
278,1,0,22412800,103044,0,0,0,560,-11.30,0.31,54.83,0,23412800,0.814
279,1,0,22412800,103416,0,0,0,560,-11.19,0.30,55.20,0,23412800,0.782
280,1,0,22412900,103789,0,0,0,559,-12.07,-2.35,55.57,0,23412900,0.813
281,1,0,22412900,104162,0,0,0,559,-11.95,0.32,55.94,0,23412900,0.821
282,1,0,22412900,104534,0,0,0,559,-11.83,0.32,56.32,0,23412900,0.812
283,1,0,22413000,104907,0,0,0,559,-11.71,0.32,56.69,0,23413000,0.791
284,1,0,22413000,105311,0,0,0,559,-11.59,0.29,57.09,0,23413000,0.765
285,1,0,22413100,105684,0,0,0,559,-11.48,0.31,57.47,0,23413100,0.743
286,1,0,22413100,106057,0,0,0,560,-10.37,2.96,57.84,0,23413100,0.782
287,1,0,22413100,106429,0,0,0,560,-10.27,0.28,58.21,0,23413100,0.797
288,1,0,22413200,106802,0,0,0,560,-10.17,0.28,58.58,0,23413200,0.793
289,1,0,22413200,107174,0,0,0,561,-9.07,2.93,58.96,0,23413200,0.824
290,1,0,22413200,107545,0,0,0,561,-8.98,0.24,59.33,0,23413200,0.833
291,1,0,22413300,107920,0,0,0,563,-6.91,5.52,59.70,0,23413300,0.858
292,1,0,22413300,108291,0,0,0,564,-5.85,2.85,60.07,0,23413300,0.870
293,1,0,22413400,108666,0,0,0,564,-5.80,0.16,60.45,0,23413400,0.864
294,1,0,22413400,109038,0,0,0,564,-5.74,0.16,60.82,0,23413400,0.843
295,1,0,22413400,109409,0,0,0,563,-6.67,-2.51,61.19,0,23413400,0.854
296,1,0,22413500,109782,0,0,0,563,-6.60,0.18,61.56,0,23413500,0.847
297,1,0,22413500,110153,0,0,0,562,-7.53,-2.49,61.94,0,23413500,0.860
298,1,0,22413500,110525,0,0,0,561,-8.44,-2.46,62.31,0,23413500,0.873
299,1,0,22413600,110901,0,0,0,560,-9.35,-2.41,62.68,0,23413600,0.885
300,1,0,22413600,111273,0,0,0,560,-9.26,0.25,63.06,0,23413600,0.878
301,1,0,22413700,111645,0,0,0,559,-10.15,-2.41,63.43,0,23413700,0.892
302,1,0,22413700,112019,0,0,0,559,-10.05,0.27,63.80,0,23413700,0.887
303,1,0,22413700,112420,0,0,0,559,-9.95,0.25,64.20,0,23413700,0.867
304,1,0,22413800,112792,0,0,0,558,-10.84,-2.39,64.57,0,23413800,0.886
305,1,0,22413800,113165,0,0,0,558,-10.73,0.29,64.95,0,23413800,0.885
306,1,0,22413800,113540,0,0,0,558,-10.63,0.29,65.32,0,23413800,0.867
307,1,0,22413900,113914,0,0,0,558,-10.52,0.28,65.70,0,23413900,0.839
